date,close,volume,open,high,low
3/3/17,251.57,2925481,250.74,251.9,249
3/2/17,250.48,3345751,249.71,253.28,248.27
3/1/17,250.02,4804963,254.18,254.85,249.11
2/28/17,249.99,6073890,244.19,251,243.9
2/27/17,246.23,11450160,248.17,248.36,242.01
2/24/17,257,8166869,252.66,258.25,250.2
2/23/17,255.99,14877090,264,264.66,255.56
2/22/17,273.51,8537811,280.31,283.45,272.6
2/21/17,277.39,5647575,275.45,281.4,274.01
2/17/17,272.23,6251469,265.8,272.89,264.15
2/16/17,268.95,7063860,277.6,280,268.5
2/15/17,279.76,4943879,280,282.24,276.44
2/14/17,280.98,7341450,279.03,287.39,278.61
2/13/17,280.6,7023072,270.74,280.7899,270.51
2/10/17,269.23,3618336,269.79,270.95,266.11
2/9/17,269.2,7812600,266.25,271.18,266.15
2/8/17,262.08,3912428,257.35,263.36,256.2
2/7/17,257.48,4244063,258.19,260,256.42
2/6/17,257.77,3557600,251,257.82,250.63
2/3/17,251.33,2185230,251.91,252.179,249.68
2/2/17,251.55,2498799,248.34,252.42,247.71
2/1/17,249.24,3953105,253.05,253.2,249.05
1/31/17,251.93,4112013,249.24,255.89,247.7
1/30/17,250.63,3798638,252.53,255.2899,247.1
1/27/17,252.95,3161774,251.38,253,248.52
1/26/17,252.51,3143717,254.29,255.74,250.75
1/25/17,254.47,5145301,257.31,258.46,251.8
1/24/17,254.61,4958144,250,254.8,249.65
1/23/17,248.92,6262097,245.85,250.8899,245.5
1/20/17,244.73,4199720,245.46,246,243.01
1/19/17,243.76,7717244,247.25,248.68,240.75
1/18/17,238.36,3767272,236.65,239.71,235.58
1/17/17,235.58,4614731,236.7,239.96,234.37
1/13/17,237.75,6085610,230,237.85,229.59
1/12/17,229.59,3787547,229.06,230.7,225.58
1/11/17,229.73,3649910,229.07,229.98,226.68
1/10/17,229.87,3658981,232,232,226.89
1/9/17,231.28,3972716,228.97,231.92,228
1/6/17,229.01,5524153,226.93,230.31,225.45
1/5/17,226.75,5908927,226.42,227.48,221.95
1/4/17,226.99,11204560,214.75,228,214.31
1/3/17,216.99,5901494,214.86,220.33,210.96
